simulation_id,ID,averageCellCycleDuration_tumour,averageCellCycleDuration_stroma,chi_macrophageToCSF,chi_macrophageToCXCL12,chi_tumourCellToEGF,macrophagePhenotypeIncrementPerHour,distanceToBloodVessel,numberOfBloodVessels,halfMaximalExtravasationCsf1Conc,maximumProbOfExtravasationPerHour,tgfThresholdForPhenotypeSwitch,iterationNumber
AWS_ParameterSweep_24072021/85,85,24,32,0.5,3,3,0.01,17,35,0.5,0.075,0.05,4
AWS_ParameterSweep_24072021/86,86,24,32,0.5,3,3,0.01,17,35,0.5,0.075,0.05,5
AWS_ParameterSweep_24072021/87,87,24,32,0.5,3,3,0.01,17,35,0.5,0.075,0.05,6
AWS_ParameterSweep_24072021/88,88,24,32,0.5,3,3,0.01,17,35,0.5,0.075,0.05,7
AWS_ParameterSweep_24072021/89,89,24,32,0.5,3,3,0.01,17,35,0.5,0.075,0.05,8
AWS_ParameterSweep_24072021/90,90,24,32,0.5,3,3,0.01,17,35,0.5,0.075,0.05,9
AWS_ParameterSweep_24072021/91,91,24,32,0.5,3,3,0.01,17,35,0.5,0.075,0.5,0
AWS_ParameterSweep_24072021/92,92,24,32,0.5,3,3,0.01,17,35,0.5,0.075,0.5,1
AWS_ParameterSweep_24072021/93,93,24,32,0.5,3,3,0.01,17,35,0.5,0.075,0.5,2
AWS_ParameterSweep_24072021/94,94,24,32,0.5,3,3,0.01,17,35,0.5,0.075,0.5,3
AWS_ParameterSweep_24072021/95,95,24,32,0.5,3,3,0.01,17,35,0.5,0.075,0.5,4
AWS_ParameterSweep_24072021/96,96,24,32,0.5,3,3,0.01,17,35,0.5,0.075,0.5,5
AWS_ParameterSweep_24072021/97,97,24,32,0.5,3,3,0.01,17,35,0.5,0.075,0.5,6
AWS_ParameterSweep_24072021/98,98,24,32,0.5,3,3,0.01,17,35,0.5,0.075,0.5,7
AWS_ParameterSweep_24072021/99,99,24,32,0.5,3,3,0.01,17,35,0.5,0.075,0.5,8
AWS_ParameterSweep_24072021/100,100,24,32,0.5,3,3,0.01,17,35,0.5,0.075,0.5,9
AWS_ParameterSweep_24072021/101,101,24,32,0.5,3,3,0.01,17,35,0.6,0.075,0.05,0
AWS_ParameterSweep_24072021/102,102,24,32,0.5,3,3,0.01,17,35,0.6,0.075,0.05,1
AWS_ParameterSweep_24072021/103,103,24,32,0.5,3,3,0.01,17,35,0.6,0.075,0.05,2
AWS_ParameterSweep_24072021/104,104,24,32,0.5,3,3,0.01,17,35,0.6,0.075,0.05,3
AWS_ParameterSweep_24072021/105,105,24,32,0.5,3,3,0.01,17,35,0.6,0.075,0.05,4
AWS_ParameterSweep_24072021/106,106,24,32,0.5,3,3,0.01,17,35,0.6,0.075,0.05,5
AWS_ParameterSweep_24072021/107,107,24,32,0.5,3,3,0.01,17,35,0.6,0.075,0.05,6
AWS_ParameterSweep_24072021/108,108,24,32,0.5,3,3,0.01,17,35,0.6,0.075,0.05,7
AWS_ParameterSweep_24072021/109,109,24,32,0.5,3,3,0.01,17,35,0.6,0.075,0.05,8
AWS_ParameterSweep_24072021/110,110,24,32,0.5,3,3,0.01,17,35,0.6,0.075,0.05,9
AWS_ParameterSweep_24072021/111,111,24,32,0.5,3,3,0.01,17,35,0.6,0.075,0.5,0
AWS_ParameterSweep_24072021/112,112,24,32,0.5,3,3,0.01,17,35,0.6,0.075,0.5,1
AWS_ParameterSweep_24072021/113,113,24,32,0.5,3,3,0.01,17,35,0.6,0.075,0.5,2
AWS_ParameterSweep_24072021/114,114,24,32,0.5,3,3,0.01,17,35,0.6,0.075,0.5,3
AWS_ParameterSweep_24072021/115,115,24,32,0.5,3,3,0.01,17,35,0.6,0.075,0.5,4
AWS_ParameterSweep_24072021/116,116,24,32,0.5,3,3,0.01,17,35,0.6,0.075,0.5,5
AWS_ParameterSweep_24072021/117,117,24,32,0.5,3,3,0.01,17,35,0.6,0.075,0.5,6
AWS_ParameterSweep_24072021/118,118,24,32,0.5,3,3,0.01,17,35,0.6,0.075,0.5,7
AWS_ParameterSweep_24072021/119,119,24,32,0.5,3,3,0.01,17,35,0.6,0.075,0.5,8
AWS_ParameterSweep_24072021/120,120,24,32,0.5,3,3,0.01,17,35,0.6,0.075,0.5,9
AWS_ParameterSweep_24072021/121,121,24,32,0.5,3,3,0.01,17,35,0.7,0.075,0.05,0
AWS_ParameterSweep_24072021/122,122,24,32,0.5,3,3,0.01,17,35,0.7,0.075,0.05,1
AWS_ParameterSweep_24072021/123,123,24,32,0.5,3,3,0.01,17,35,0.7,0.075,0.05,2
AWS_ParameterSweep_24072021/124,124,24,32,0.5,3,3,0.01,17,35,0.7,0.075,0.05,3
AWS_ParameterSweep_24072021/125,125,24,32,0.5,3,3,0.01,17,35,0.7,0.075,0.05,4
AWS_ParameterSweep_24072021/126,126,24,32,0.5,3,3,0.01,17,35,0.7,0.075,0.05,5
AWS_ParameterSweep_24072021/127,127,24,32,0.5,3,3,0.01,17,35,0.7,0.075,0.05,6
AWS_ParameterSweep_24072021/128,128,24,32,0.5,3,3,0.01,17,35,0.7,0.075,0.05,7
AWS_ParameterSweep_24072021/129,129,24,32,0.5,3,3,0.01,17,35,0.7,0.075,0.05,8
AWS_ParameterSweep_24072021/130,130,24,32,0.5,3,3,0.01,17,35,0.7,0.075,0.05,9
AWS_ParameterSweep_24072021/131,131,24,32,0.5,3,3,0.01,17,35,0.7,0.075,0.5,0
AWS_ParameterSweep_24072021/132,132,24,32,0.5,3,3,0.01,17,35,0.7,0.075,0.5,1
AWS_ParameterSweep_24072021/133,133,24,32,0.5,3,3,0.01,17,35,0.7,0.075,0.5,2
AWS_ParameterSweep_24072021/134,134,24,32,0.5,3,3,0.01,17,35,0.7,0.075,0.5,3
AWS_ParameterSweep_24072021/135,135,24,32,0.5,3,3,0.01,17,35,0.7,0.075,0.5,4
AWS_ParameterSweep_24072021/136,136,24,32,0.5,3,3,0.01,17,35,0.7,0.075,0.5,5
AWS_ParameterSweep_24072021/137,137,24,32,0.5,3,3,0.01,17,35,0.7,0.075,0.5,6
AWS_ParameterSweep_24072021/138,138,24,32,0.5,3,3,0.01,17,35,0.7,0.075,0.5,7
AWS_ParameterSweep_24072021/139,139,24,32,0.5,3,3,0.01,17,35,0.7,0.075,0.5,8
AWS_ParameterSweep_24072021/140,140,24,32,0.5,3,3,0.01,17,35,0.7,0.075,0.5,9
AWS_ParameterSweep_24072021/141,141,24,32,0.5,3,3,0.01,17,35,0.8,0.075,0.05,0
AWS_ParameterSweep_24072021/142,142,24,32,0.5,3,3,0.01,17,35,0.8,0.075,0.05,1
AWS_ParameterSweep_24072021/143,143,24,32,0.5,3,3,0.01,17,35,0.8,0.075,0.05,2
AWS_ParameterSweep_24072021/144,144,24,32,0.5,3,3,0.01,17,35,0.8,0.075,0.05,3
AWS_ParameterSweep_24072021/145,145,24,32,0.5,3,3,0.01,17,35,0.8,0.075,0.05,4
AWS_ParameterSweep_24072021/146,146,24,32,0.5,3,3,0.01,17,35,0.8,0.075,0.05,5
AWS_ParameterSweep_24072021/147,147,24,32,0.5,3,3,0.01,17,35,0.8,0.075,0.05,6
AWS_ParameterSweep_24072021/148,148,24,32,0.5,3,3,0.01,17,35,0.8,0.075,0.05,7
AWS_ParameterSweep_24072021/149,149,24,32,0.5,3,3,0.01,17,35,0.8,0.075,0.05,8
AWS_ParameterSweep_24072021/150,150,24,32,0.5,3,3,0.01,17,35,0.8,0.075,0.05,9
AWS_ParameterSweep_24072021/151,151,24,32,0.5,3,3,0.01,17,35,0.8,0.075,0.5,0
AWS_ParameterSweep_24072021/152,152,24,32,0.5,3,3,0.01,17,35,0.8,0.075,0.5,1
AWS_ParameterSweep_24072021/153,153,24,32,0.5,3,3,0.01,17,35,0.8,0.075,0.5,2
AWS_ParameterSweep_24072021/154,154,24,32,0.5,3,3,0.01,17,35,0.8,0.075,0.5,3
AWS_ParameterSweep_24072021/155,155,24,32,0.5,3,3,0.01,17,35,0.8,0.075,0.5,4
AWS_ParameterSweep_24072021/156,156,24,32,0.5,3,3,0.01,17,35,0.8,0.075,0.5,5
AWS_ParameterSweep_24072021/157,157,24,32,0.5,3,3,0.01,17,35,0.8,0.075,0.5,6
AWS_ParameterSweep_24072021/158,158,24,32,0.5,3,3,0.01,17,35,0.8,0.075,0.5,7
AWS_ParameterSweep_24072021/159,159,24,32,0.5,3,3,0.01,17,35,0.8,0.075,0.5,8
AWS_ParameterSweep_24072021/160,160,24,32,0.5,3,3,0.01,17,35,0.8,0.075,0.5,9
AWS_ParameterSweep_24072021/161,161,24,32,0.5,3,3,0.01,17,35,0.9,0.075,0.05,0
AWS_ParameterSweep_24072021/162,162,24,32,0.5,3,3,0.01,17,35,0.9,0.075,0.05,1
AWS_ParameterSweep_24072021/163,163,24,32,0.5,3,3,0.01,17,35,0.9,0.075,0.05,2
AWS_ParameterSweep_24072021/164,164,24,32,0.5,3,3,0.01,17,35,0.9,0.075,0.05,3
AWS_ParameterSweep_24072021/165,165,24,32,0.5,3,3,0.01,17,35,0.9,0.075,0.05,4
AWS_ParameterSweep_24072021/166,166,24,32,0.5,3,3,0.01,17,35,0.9,0.075,0.05,5
AWS_ParameterSweep_24072021/167,167,24,32,0.5,3,3,0.01,17,35,0.9,0.075,0.05,6
AWS_ParameterSweep_24072021/168,168,24,32,0.5,3,3,0.01,17,35,0.9,0.075,0.05,7
AWS_ParameterSweep_24072021/169,169,24,32,0.5,3,3,0.01,17,35,0.9,0.075,0.05,8
AWS_ParameterSweep_24072021/170,170,24,32,0.5,3,3,0.01,17,35,0.9,0.075,0.05,9
AWS_ParameterSweep_24072021/171,171,24,32,0.5,3,3,0.01,17,35,0.9,0.075,0.5,0
AWS_ParameterSweep_24072021/172,172,24,32,0.5,3,3,0.01,17,35,0.9,0.075,0.5,1
AWS_ParameterSweep_24072021/173,173,24,32,0.5,3,3,0.01,17,35,0.9,0.075,0.5,2
AWS_ParameterSweep_24072021/174,174,24,32,0.5,3,3,0.01,17,35,0.9,0.075,0.5,3
AWS_ParameterSweep_24072021/175,175,24,32,0.5,3,3,0.01,17,35,0.9,0.075,0.5,4
AWS_ParameterSweep_24072021/176,176,24,32,0.5,3,3,0.01,17,35,0.9,0.075,0.5,5
AWS_ParameterSweep_24072021/177,177,24,32,0.5,3,3,0.01,17,35,0.9,0.075,0.5,6
AWS_ParameterSweep_24072021/178,178,24,32,0.5,3,3,0.01,17,35,0.9,0.075,0.5,7
AWS_ParameterSweep_24072021/179,179,24,32,0.5,3,3,0.01,17,35,0.9,0.075,0.5,8
AWS_ParameterSweep_24072021/180,180,24,32,0.5,3,3,0.01,17,35,0.9,0.075,0.5,9
AWS_ParameterSweep_24072021/181,181,24,32,1,3,3,0.01,17,35,0.1,0.075,0.05,0
AWS_ParameterSweep_24072021/182,182,24,32,1,3,3,0.01,17,35,0.1,0.075,0.05,1
AWS_ParameterSweep_24072021/183,183,24,32,1,3,3,0.01,17,35,0.1,0.075,0.05,2
AWS_ParameterSweep_24072021/184,184,24,32,1,3,3,0.01,17,35,0.1,0.075,0.05,3
AWS_ParameterSweep_24072021/185,185,24,32,1,3,3,0.01,17,35,0.1,0.075,0.05,4
AWS_ParameterSweep_24072021/186,186,24,32,1,3,3,0.01,17,35,0.1,0.075,0.05,5
AWS_ParameterSweep_24072021/187,187,24,32,1,3,3,0.01,17,35,0.1,0.075,0.05,6
AWS_ParameterSweep_24072021/188,188,24,32,1,3,3,0.01,17,35,0.1,0.075,0.05,7
AWS_ParameterSweep_24072021/189,189,24,32,1,3,3,0.01,17,35,0.1,0.075,0.05,8
AWS_ParameterSweep_24072021/190,190,24,32,1,3,3,0.01,17,35,0.1,0.075,0.05,9
AWS_ParameterSweep_24072021/191,191,24,32,1,3,3,0.01,17,35,0.1,0.075,0.5,0
AWS_ParameterSweep_24072021/192,192,24,32,1,3,3,0.01,17,35,0.1,0.075,0.5,1
AWS_ParameterSweep_24072021/193,193,24,32,1,3,3,0.01,17,35,0.1,0.075,0.5,2
AWS_ParameterSweep_24072021/194,194,24,32,1,3,3,0.01,17,35,0.1,0.075,0.5,3
AWS_ParameterSweep_24072021/195,195,24,32,1,3,3,0.01,17,35,0.1,0.075,0.5,4
AWS_ParameterSweep_24072021/196,196,24,32,1,3,3,0.01,17,35,0.1,0.075,0.5,5
AWS_ParameterSweep_24072021/197,197,24,32,1,3,3,0.01,17,35,0.1,0.075,0.5,6
AWS_ParameterSweep_24072021/198,198,24,32,1,3,3,0.01,17,35,0.1,0.075,0.5,7
AWS_ParameterSweep_24072021/199,199,24,32,1,3,3,0.01,17,35,0.1,0.075,0.5,8
AWS_ParameterSweep_24072021/200,200,24,32,1,3,3,0.01,17,35,0.1,0.075,0.5,9
AWS_ParameterSweep_24072021/201,201,24,32,1,3,3,0.01,17,35,0.2,0.075,0.05,0
AWS_ParameterSweep_24072021/202,202,24,32,1,3,3,0.01,17,35,0.2,0.075,0.05,1
